Age,Age_Band,Gender,Primary_Device,Urban_or_Rural,Avg_Daily_Screen_Time_hr,Exceeded_Recommended_Limit,Health_Risk_Flag
10,Pre-teens,Female,Smartphone,Rural,6.86,True,1
8,Kids,Male,Tv,Rural,3.47,True,1
11,Pre-teens,Female,Tablet,Urban,4.61,True,1
9,Pre-teens,Male,Smartphone,Rural,0.0,False,1
15,Teens,Male,Smartphone,Rural,3.47,True,1
11,Pre-teens,Male,Tv,Urban,4.31,True,1
9,Pre-teens,Male,Smartphone,Urban,2.3,True,1
13,Teens,Male,Laptop,Urban,4.5,True,1
13,Teens,Female,Laptop,Rural,2.65,False,1
17,Young Adults,Male,Laptop,Urban,5.34,True,1
11,Pre-teens,Male,Tv,Urban,3.87,True,1
13,Teens,Male,Tablet,Urban,5.67,True,1
9,Pre-teens,Female,Tv,Rural,3.8,True,1
17,Young Adults,Male,Tv,Rural,4.61,True,1
9,Pre-teens,Male,Tablet,Rural,0.9,False,1
17,Young Adults,Female,Tv,Urban,3.3,True,1
11,Pre-teens,Male,Tv,Urban,5.12,True,1
15,Teens,Female,Tv,Urban,5.82,True,1
14,Teens,Female,Smartphone,Rural,4.27,True,1
16,Teens,Male,Smartphone,Urban,5.79,True,1
15,Teens,Female,Tv,Urban,2.69,False,1
12,Pre-teens,Female,Smartphone,Urban,3.64,True,1
9,Pre-teens,Male,Tv,Urban,4.23,True,1
12,Pre-teens,Male,Laptop,Urban,6.15,True,1
15,Teens,Female,Tablet,Urban,5.72,True,1
17,Young Adults,Male,Laptop,Rural,3.41,True,1
16,Teens,Male,Laptop,Urban,4.45,True,1
16,Teens,Male,Smartphone,Urban,2.9,False,1
8,Kids,Female,Smartphone,Urban,7.54,True,1
16,Teens,Male,Tablet,Urban,4.34,True,1
14,Teens,Female,Smartphone,Urban,5.43,True,1
16,Teens,Female,Tablet,Rural,4.78,True,1
15,Teens,Female,Tablet,Urban,3.64,True,1
8,Kids,Female,Smartphone,Rural,1.67,False,1
15,Teens,Female,Tablet,Rural,4.96,True,1
15,Teens,Male,Smartphone,Urban,5.91,True,1
18,Young Adults,Female,Tablet,Rural,6.3,True,1
10,Pre-teens,Female,Tablet,Urban,0.0,False,1
8,Kids,Male,Tv,Rural,3.39,True,1
15,Teens,Male,Smartphone,Rural,3.57,True,1
10,Pre-teens,Female,Smartphone,Urban,1.36,False,1
10,Pre-teens,Male,Smartphone,Rural,0.0,False,1
8,Kids,Male,Tv,Rural,2.75,True,1
18,Young Adults,Female,Smartphone,Urban,6.4,True,1
12,Pre-teens,Female,Laptop,Rural,3.77,True,1
17,Young Adults,Female,Smartphone,Urban,4.73,True,1
14,Teens,Male,Tablet,Urban,5.76,True,1
17,Young Adults,Female,Smartphone,Urban,2.78,False,1
16,Teens,Female,Smartphone,Rural,3.93,True,1
14,Teens,Male,Tv,Urban,4.61,True,1
16,Teens,Male,Tv,Urban,5.67,True,1
15,Teens,Female,Laptop,Urban,4.51,True,1
9,Pre-teens,Female,Smartphone,Rural,0.45,False,1
8,Kids,Male,Smartphone,Urban,2.52,True,1
14,Teens,Male,Smartphone,Urban,6.04,True,1
14,Teens,Female,Smartphone,Rural,6.1,True,1
15,Teens,Male,Smartphone,Urban,5.61,True,1
12,Pre-teens,Male,Smartphone,Urban,2.34,False,1
10,Pre-teens,Male,Tv,Urban,6.86,True,1
15,Teens,Female,Laptop,Rural,3.78,True,1
13,Teens,Male,Smartphone,Urban,4.67,True,1
18,Young Adults,Male,Tablet,Rural,3.25,True,1
10,Pre-teens,Male,Smartphone,Rural,4.98,True,1
8,Kids,Male,Smartphone,Urban,5.22,True,1
10,Pre-teens,Female,Tv,Urban,5.02,True,1
12,Pre-teens,Male,Smartphone,Urban,6.06,True,1
10,Pre-teens,Female,Smartphone,Rural,1.86,False,1
8,Kids,Female,Smartphone,Rural,6.48,True,1
12,Pre-teens,Male,Laptop,Rural,4.37,True,1
17,Young Adults,Male,Laptop,Rural,4.16,True,1
14,Teens,Female,Laptop,Urban,3.91,True,1
14,Teens,Male,Laptop,Urban,4.54,True,1
18,Young Adults,Female,Smartphone,Rural,4.59,True,1
16,Teens,Female,Smartphone,Urban,2.42,False,1
17,Young Adults,Male,Smartphone,Urban,6.78,True,1
17,Young Adults,Female,Tv,Rural,4.19,True,1
10,Pre-teens,Female,Tv,Rural,3.27,True,1
14,Teens,Male,Tablet,Urban,6.01,True,1
8,Kids,Female,Smartphone,Urban,4.74,True,1
11,Pre-teens,Female,Smartphone,Urban,3.42,True,1
11,Pre-teens,Female,Smartphone,Urban,5.47,True,1
12,Pre-teens,Female,Smartphone,Rural,6.28,True,1
14,Teens,Male,Smartphone,Urban,3.26,True,1
14,Teens,Male,Smartphone,Urban,6.06,True,1
18,Young Adults,Female,Tv,Urban,4.67,True,1
11,Pre-teens,Male,Smartphone,Urban,3.75,True,1
14,Teens,Female,Smartphone,Urban,6.7,True,1
18,Young Adults,Female,Smartphone,Urban,3.58,True,1
10,Pre-teens,Female,Tv,Rural,2.51,True,1
13,Teens,Male,Smartphone,Urban,5.24,True,1
9,Pre-teens,Female,Tablet,Rural,0.0,False,1
17,Young Adults,Female,Smartphone,Urban,5.14,True,1
16,Teens,Female,Tablet,Urban,3.7,True,1
12,Pre-teens,Male,Tv,Urban,4.79,True,1
13,Teens,Male,Tablet,Rural,3.3,True,1
11,Pre-teens,Female,Smartphone,Urban,5.97,True,1
18,Young Adults,Female,Smartphone,Urban,3.05,True,1
17,Young Adults,Female,Smartphone,Urban,5.18,True,1
14,Teens,Female,Laptop,Urban,3.66,True,1
16,Teens,Male,Smartphone,Urban,4.08,True,1
14,Teens,Female,Tv,Urban,4.41,True,1
8,Kids,Female,Smartphone,Urban,4.84,True,1
8,Kids,Female,Smartphone,Rural,6.82,True,1
16,Teens,Female,Smartphone,Urban,4.6,True,1
18,Young Adults,Female,Smartphone,Urban,4.06,True,1
16,Teens,Female,Tv,Urban,6.5,True,1
11,Pre-teens,Female,Tv,Rural,4.21,True,1
16,Teens,Female,Laptop,Urban,7.07,True,1
10,Pre-teens,Male,Smartphone,Rural,2.48,True,1
14,Teens,Female,Smartphone,Urban,4.06,True,1
13,Teens,Male,Smartphone,Urban,3.9,True,1
15,Teens,Female,Tv,Urban,2.38,False,1
18,Young Adults,Female,Laptop,Rural,6.59,True,1
16,Teens,Male,Laptop,Rural,5.6,True,1
12,Pre-teens,Male,Laptop,Urban,5.32,True,1
8,Kids,Male,Tv,Rural,4.82,True,1
10,Pre-teens,Male,Tv,Urban,3.69,True,1
17,Young Adults,Male,Tv,Urban,4.17,True,1
15,Teens,Male,Tv,Urban,4.09,True,1
18,Young Adults,Male,Smartphone,Rural,5.83,True,1
13,Teens,Female,Laptop,Rural,4.74,True,1
15,Teens,Female,Tv,Urban,4.01,True,1
16,Teens,Female,Laptop,Urban,2.59,False,1
11,Pre-teens,Female,Smartphone,Urban,4.94,True,1
8,Kids,Male,Tv,Rural,4.15,True,1
8,Kids,Male,Tv,Urban,0.3,False,1
17,Young Adults,Female,Tablet,Rural,4.75,True,1
11,Pre-teens,Male,Laptop,Urban,5.12,True,1
14,Teens,Male,Smartphone,Urban,3.2,True,1
9,Pre-teens,Male,Smartphone,Urban,5.72,True,1
10,Pre-teens,Male,Tv,Rural,6.8,True,1
8,Kids,Female,Tablet,Urban,4.73,True,1
12,Pre-teens,Male,Smartphone,Urban,1.51,False,1
8,Kids,Female,Tablet,Urban,7.74,True,1
15,Teens,Female,Smartphone,Urban,5.08,True,1
8,Kids,Female,Tv,Urban,1.13,False,1
18,Young Adults,Male,Smartphone,Rural,5.12,True,1
8,Kids,Male,Tv,Urban,6.34,True,1
9,Pre-teens,Female,Smartphone,Urban,5.05,True,1
9,Pre-teens,Female,Smartphone,Urban,0.73,False,1
13,Teens,Male,Smartphone,Urban,5.49,True,1
14,Teens,Female,Laptop,Urban,4.51,True,1
12,Pre-teens,Male,Smartphone,Urban,2.9,False,1
8,Kids,Male,Tablet,Urban,6.29,True,1
8,Kids,Male,Smartphone,Urban,2.1,True,1
10,Pre-teens,Female,Tv,Urban,4.53,True,1
9,Pre-teens,Female,Tablet,Rural,2.44,True,1
12,Pre-teens,Female,Smartphone,Urban,2.14,False,1
17,Young Adults,Female,Smartphone,Urban,2.72,False,1
13,Teens,Female,Smartphone,Urban,4.49,True,1
14,Teens,Female,Tablet,Urban,3.15,True,1
11,Pre-teens,Male,Smartphone,Rural,3.74,True,1
14,Teens,Female,Tablet,Urban,3.82,True,1
18,Young Adults,Female,Tv,Urban,6.53,True,1
15,Teens,Female,Laptop,Urban,4.54,True,1
18,Young Adults,Female,Laptop,Urban,3.87,True,1
8,Kids,Female,Tablet,Rural,0.1,False,1
13,Teens,Male,Smartphone,Urban,4.44,True,1
15,Teens,Male,Smartphone,Rural,4.75,True,1
12,Pre-teens,Female,Tablet,Urban,3.65,True,1
11,Pre-teens,Male,Laptop,Urban,3.85,True,1
9,Pre-teens,Male,Tv,Urban,2.32,True,1
13,Teens,Male,Laptop,Rural,3.65,True,1
13,Teens,Female,Tv,Rural,5.78,True,1
18,Young Adults,Male,Tv,Urban,2.96,False,1
8,Kids,Female,Smartphone,Urban,0.91,False,1
16,Teens,Male,Smartphone,Urban,4.17,True,1
18,Young Adults,Male,Laptop,Urban,3.98,True,1
13,Teens,Male,Smartphone,Urban,2.94,False,1
10,Pre-teens,Female,Tv,Urban,6.63,True,1
11,Pre-teens,Male,Tv,Urban,2.9,False,1
18,Young Adults,Female,Smartphone,Urban,5.84,True,1
11,Pre-teens,Male,Smartphone,Rural,4.78,True,1
10,Pre-teens,Male,Smartphone,Urban,4.13,True,1
17,Young Adults,Male,Smartphone,Urban,3.67,True,1
10,Pre-teens,Male,Tv,Rural,3.02,True,1
10,Pre-teens,Female,Tv,Urban,1.92,False,1
11,Pre-teens,Female,Laptop,Urban,4.16,True,1
14,Teens,Male,Tv,Urban,3.9,True,1
11,Pre-teens,Female,Tv,Urban,6.12,True,1
16,Teens,Male,Smartphone,Rural,6.23,True,1
8,Kids,Male,Smartphone,Urban,2.87,True,1
15,Teens,Male,Smartphone,Urban,4.88,True,1
14,Teens,Female,Smartphone,Rural,2.61,False,1
9,Pre-teens,Female,Tablet,Urban,1.19,False,1
15,Teens,Male,Laptop,Urban,2.54,False,1
8,Kids,Male,Tablet,Urban,5.36,True,1
18,Young Adults,Male,Tv,Urban,4.18,True,1
16,Teens,Male,Tv,Urban,4.47,True,1
16,Teens,Female,Tv,Rural,5.91,True,1
9,Pre-teens,Female,Smartphone,Urban,1.64,False,1
14,Teens,Female,Smartphone,Rural,4.13,True,1
17,Young Adults,Male,Smartphone,Rural,1.97,False,1
10,Pre-teens,Female,Smartphone,Urban,0.21,False,1
14,Teens,Female,Tablet,Urban,3.27,True,1
17,Young Adults,Female,Smartphone,Urban,4.62,True,1
16,Teens,Female,Smartphone,Urban,4.14,True,1
11,Pre-teens,Female,Laptop,Urban,3.82,True,1
8,Kids,Female,Smartphone,Urban,4.69,True,1
9,Pre-teens,Male,Smartphone,Rural,3.59,True,1
8,Kids,Male,Tablet,Rural,3.28,True,1
12,Pre-teens,Male,Tv,Urban,3.94,True,1
12,Pre-teens,Male,Laptop,Rural,6.34,True,1
18,Young Adults,Female,Smartphone,Urban,5.16,True,1
14,Teens,Male,Laptop,Rural,2.89,False,1
16,Teens,Female,Laptop,Rural,3.73,True,1
16,Teens,Male,Laptop,Urban,5.77,True,1
10,Pre-teens,Male,Smartphone,Rural,3.57,True,1
10,Pre-teens,Female,Tv,Rural,6.58,True,1
10,Pre-teens,Male,Smartphone,Urban,3.2,True,1
11,Pre-teens,Male,Tv,Rural,2.08,False,1
15,Teens,Male,Smartphone,Urban,4.26,True,1
13,Teens,Male,Tv,Urban,8.24,True,1
15,Teens,Male,Smartphone,Urban,3.85,True,1
8,Kids,Female,Smartphone,Urban,1.63,False,1
15,Teens,Male,Smartphone,Rural,2.2,False,1
11,Pre-teens,Female,Tablet,Urban,2.73,False,1
18,Young Adults,Male,Smartphone,Urban,5.02,True,1
8,Kids,Female,Tablet,Urban,4.92,True,1
15,Teens,Female,Smartphone,Urban,4.32,True,1
11,Pre-teens,Male,Smartphone,Urban,3.71,True,1
13,Teens,Male,Smartphone,Urban,4.29,True,1
15,Teens,Female,Smartphone,Urban,6.56,True,1
11,Pre-teens,Male,Smartphone,Urban,0.95,False,1
10,Pre-teens,Female,Smartphone,Urban,2.0,False,1
16,Teens,Female,Smartphone,Urban,3.12,True,1
10,Pre-teens,Female,Smartphone,Urban,1.65,False,1
16,Teens,Male,Smartphone,Urban,3.96,True,1
9,Pre-teens,Female,Tv,Rural,1.68,False,1
9,Pre-teens,Female,Tv,Urban,4.05,True,1
9,Pre-teens,Male,Tablet,Urban,4.29,True,1
13,Teens,Male,Laptop,Urban,4.46,True,1
10,Pre-teens,Male,Tv,Rural,0.0,False,1
16,Teens,Male,Smartphone,Rural,5.54,True,1
11,Pre-teens,Female,Tablet,Urban,2.02,False,1
8,Kids,Female,Tv,Urban,1.67,False,1
11,Pre-teens,Female,Tablet,Urban,5.3,True,1
8,Kids,Female,Smartphone,Rural,9.35,True,1
12,Pre-teens,Male,Smartphone,Rural,3.97,True,1
11,Pre-teens,Male,Laptop,Urban,4.12,True,1
15,Teens,Male,Laptop,Rural,4.88,True,1
15,Teens,Female,Smartphone,Urban,5.48,True,1
14,Teens,Female,Smartphone,Urban,3.23,True,1
10,Pre-teens,Male,Tv,Urban,5.99,True,1
8,Kids,Male,Tablet,Urban,1.25,False,1
8,Kids,Male,Smartphone,Urban,0.0,False,1
18,Young Adults,Male,Laptop,Rural,3.91,True,1
10,Pre-teens,Female,Tablet,Urban,8.74,True,1
13,Teens,Female,Tv,Rural,7.85,True,1
14,Teens,Female,Smartphone,Urban,5.76,True,1
13,Teens,Female,Smartphone,Rural,3.37,True,1
13,Teens,Female,Laptop,Urban,4.11,True,1
13,Teens,Male,Smartphone,Urban,4.06,True,1
10,Pre-teens,Male,Smartphone,Urban,2.29,True,1
13,Teens,Female,Tv,Urban,1.9,False,1
15,Teens,Male,Smartphone,Urban,3.83,True,1
18,Young Adults,Male,Smartphone,Rural,4.13,True,1
18,Young Adults,Female,Smartphone,Rural,3.99,True,1
9,Pre-teens,Male,Tablet,Urban,0.0,False,1
12,Pre-teens,Male,Tv,Urban,3.54,True,1
8,Kids,Female,Tv,Urban,2.4,True,1
8,Kids,Male,Smartphone,Rural,5.51,True,1
12,Pre-teens,Male,Tablet,Urban,4.68,True,1
10,Pre-teens,Male,Tv,Urban,4.05,True,1
11,Pre-teens,Female,Smartphone,Rural,3.97,True,1
10,Pre-teens,Male,Smartphone,Urban,9.2,True,1
8,Kids,Male,Smartphone,Urban,3.93,True,1
8,Kids,Female,Smartphone,Urban,0.0,False,1
12,Pre-teens,Female,Tablet,Urban,3.15,True,1
13,Teens,Male,Laptop,Urban,2.42,False,1
10,Pre-teens,Female,Smartphone,Urban,0.66,False,1
16,Teens,Female,Smartphone,Urban,1.92,False,1
12,Pre-teens,Male,Laptop,Urban,4.46,True,1
15,Teens,Male,Smartphone,Rural,5.57,True,1
8,Kids,Male,Tablet,Urban,6.76,True,1
12,Pre-teens,Male,Smartphone,Urban,5.69,True,1
10,Pre-teens,Male,Tablet,Urban,4.51,True,1
8,Kids,Female,Smartphone,Urban,2.9,True,1
11,Pre-teens,Male,Smartphone,Rural,3.35,True,1
12,Pre-teens,Male,Tv,Urban,5.82,True,1
14,Teens,Male,Tv,Urban,5.09,True,1
8,Kids,Female,Tv,Rural,5.49,True,1
10,Pre-teens,Male,Tablet,Urban,4.1,True,1
9,Pre-teens,Male,Smartphone,Rural,6.83,True,1
16,Teens,Male,Tv,Rural,4.1,True,1
17,Young Adults,Female,Laptop,Urban,2.9,False,1
13,Teens,Male,Smartphone,Urban,4.78,True,1
17,Young Adults,Female,Smartphone,Urban,5.69,True,1
10,Pre-teens,Male,Tablet,Urban,6.33,True,1
15,Teens,Male,Tv,Urban,3.14,True,1
15,Teens,Male,Laptop,Urban,5.56,True,1
9,Pre-teens,Male,Smartphone,Urban,3.11,True,1
13,Teens,Male,Tv,Urban,4.9,True,1
14,Teens,Male,Tablet,Urban,6.39,True,1
9,Pre-teens,Male,Smartphone,Urban,1.38,False,1
18,Young Adults,Male,Tablet,Urban,7.75,True,1
17,Young Adults,Female,Smartphone,Urban,5.12,True,1
9,Pre-teens,Female,Smartphone,Urban,2.31,True,1
17,Young Adults,Female,Smartphone,Urban,5.34,True,1
8,Kids,Male,Smartphone,Urban,7.91,True,1
15,Teens,Female,Tablet,Rural,4.46,True,1
8,Kids,Male,Smartphone,Urban,2.02,True,1
16,Teens,Male,Smartphone,Rural,4.92,True,1
18,Young Adults,Male,Smartphone,Urban,4.64,True,1
13,Teens,Male,Tv,Rural,3.55,True,1
14,Teens,Female,Smartphone,Urban,5.04,True,1
17,Young Adults,Male,Tablet,Rural,2.91,False,1
14,Teens,Male,Smartphone,Rural,4.64,True,1
17,Young Adults,Female,Tablet,Urban,4.68,True,1
10,Pre-teens,Female,Tv,Rural,6.09,True,1
9,Pre-teens,Female,Smartphone,Rural,4.12,True,1
16,Teens,Female,Tv,Rural,5.29,True,1
15,Teens,Male,Smartphone,Rural,4.03,True,1
17,Young Adults,Male,Laptop,Urban,5.44,True,1
14,Teens,Male,Smartphone,Urban,4.94,True,1
16,Teens,Female,Laptop,Urban,3.95,True,1
11,Pre-teens,Female,Smartphone,Urban,3.28,True,1
11,Pre-teens,Female,Smartphone,Urban,4.39,True,1
8,Kids,Female,Smartphone,Urban,1.87,False,1
15,Teens,Male,Smartphone,Urban,3.07,True,1
10,Pre-teens,Male,Tv,Urban,0.96,False,1
14,Teens,Male,Smartphone,Urban,3.82,True,1
9,Pre-teens,Female,Tv,Rural,0.26,False,1
9,Pre-teens,Male,Smartphone,Urban,3.21,True,1
14,Teens,Female,Tablet,Urban,5.15,True,1
13,Teens,Male,Smartphone,Urban,4.86,True,1
10,Pre-teens,Male,Tv,Urban,5.88,True,1
16,Teens,Male,Tablet,Urban,4.29,True,1
17,Young Adults,Male,Tv,Urban,6.13,True,1
13,Teens,Female,Laptop,Urban,4.53,True,1
17,Young Adults,Female,Tv,Rural,6.49,True,1
17,Young Adults,Male,Laptop,Urban,4.61,True,1
13,Teens,Male,Tablet,Urban,4.04,True,1
8,Kids,Male,Tv,Urban,4.31,True,1
11,Pre-teens,Male,Tv,Rural,4.55,True,1
17,Young Adults,Male,Smartphone,Urban,4.76,True,1
13,Teens,Female,Smartphone,Urban,4.08,True,1
13,Teens,Female,Tv,Rural,5.54,True,1
18,Young Adults,Female,Laptop,Urban,6.81,True,1
12,Pre-teens,Female,Smartphone,Urban,4.05,True,1
8,Kids,Female,Smartphone,Urban,7.57,True,1
15,Teens,Female,Smartphone,Rural,4.55,True,1
12,Pre-teens,Male,Smartphone,Urban,3.13,True,1
12,Pre-teens,Female,Tv,Rural,4.26,True,1
14,Teens,Male,Tv,Urban,4.28,True,1
11,Pre-teens,Female,Smartphone,Urban,5.24,True,1
13,Teens,Male,Tablet,Urban,3.75,True,1
11,Pre-teens,Male,Laptop,Rural,4.54,True,1
10,Pre-teens,Male,Smartphone,Urban,2.79,True,1
14,Teens,Male,Smartphone,Rural,5.67,True,1
15,Teens,Female,Laptop,Rural,3.91,True,1
11,Pre-teens,Female,Laptop,Rural,4.55,True,1
9,Pre-teens,Male,Tablet,Rural,11.18,True,1
17,Young Adults,Female,Laptop,Rural,7.29,True,1
10,Pre-teens,Male,Tablet,Urban,2.76,True,1
8,Kids,Female,Smartphone,Urban,0.96,False,1
15,Teens,Female,Smartphone,Rural,4.91,True,1
10,Pre-teens,Male,Tablet,Urban,3.23,True,1
17,Young Adults,Female,Smartphone,Urban,4.71,True,1
14,Teens,Male,Tv,Urban,3.41,True,1
17,Young Adults,Female,Smartphone,Urban,5.22,True,1
12,Pre-teens,Female,Smartphone,Rural,3.67,True,1
17,Young Adults,Female,Tablet,Urban,5.45,True,1
12,Pre-teens,Female,Laptop,Rural,3.6,True,1
14,Teens,Female,Smartphone,Urban,4.36,True,1
16,Teens,Male,Smartphone,Rural,4.51,True,1
12,Pre-teens,Male,Laptop,Urban,5.6,True,1
8,Kids,Male,Smartphone,Urban,4.1,True,1
17,Young Adults,Female,Smartphone,Rural,5.7,True,1
17,Young Adults,Female,Smartphone,Rural,6.58,True,1
8,Kids,Female,Tv,Rural,7.78,True,1
9,Pre-teens,Male,Tv,Urban,5.32,True,1
13,Teens,Male,Tablet,Rural,5.04,True,1
16,Teens,Female,Tablet,Rural,5.2,True,1
15,Teens,Female,Tv,Urban,5.02,True,1
12,Pre-teens,Female,Tv,Urban,4.52,True,1
8,Kids,Male,Tv,Urban,2.68,True,1
14,Teens,Female,Smartphone,Urban,4.91,True,1
12,Pre-teens,Male,Laptop,Rural,4.97,True,1
13,Teens,Female,Smartphone,Urban,2.73,False,1
14,Teens,Male,Laptop,Rural,5.77,True,1
10,Pre-teens,Female,Smartphone,Urban,6.68,True,1
17,Young Adults,Male,Tv,Urban,3.74,True,1
10,Pre-teens,Female,Tablet,Rural,9.33,True,1
12,Pre-teens,Male,Smartphone,Urban,4.95,True,1
13,Teens,Male,Smartphone,Urban,4.66,True,1
16,Teens,Male,Tv,Urban,3.47,True,1
12,Pre-teens,Male,Smartphone,Urban,4.58,True,1
8,Kids,Female,Smartphone,Urban,8.46,True,1
11,Pre-teens,Female,Smartphone,Rural,3.93,True,1
12,Pre-teens,Male,Smartphone,Urban,5.47,True,1
17,Young Adults,Male,Laptop,Urban,4.05,True,1
17,Young Adults,Female,Tv,Urban,4.88,True,1
12,Pre-teens,Female,Laptop,Urban,5.21,True,1
14,Teens,Male,Laptop,Urban,3.11,True,1
11,Pre-teens,Female,Tablet,Urban,5.47,True,1
8,Kids,Female,Smartphone,Rural,4.45,True,1
12,Pre-teens,Female,Laptop,Rural,5.09,True,1
14,Teens,Female,Tablet,Urban,2.56,False,1
17,Young Adults,Female,Smartphone,Urban,4.78,True,1
17,Young Adults,Female,Laptop,Urban,5.9,True,1
13,Teens,Female,Smartphone,Urban,3.73,True,1
12,Pre-teens,Male,Smartphone,Urban,3.76,True,1
11,Pre-teens,Male,Laptop,Rural,3.74,True,1
9,Pre-teens,Female,Smartphone,Urban,5.87,True,1
11,Pre-teens,Female,Tv,Rural,6.62,True,1
17,Young Adults,Female,Smartphone,Urban,6.0,True,1
17,Young Adults,Female,Tv,Urban,5.71,True,1
10,Pre-teens,Male,Smartphone,Urban,3.87,True,1
17,Young Adults,Male,Laptop,Rural,3.94,True,1
8,Kids,Male,Smartphone,Rural,2.61,True,1
15,Teens,Female,Smartphone,Urban,6.88,True,1
12,Pre-teens,Male,Tablet,Rural,5.41,True,1
11,Pre-teens,Female,Tv,Rural,3.67,True,1
15,Teens,Male,Smartphone,Urban,7.42,True,1
14,Teens,Female,Laptop,Urban,3.39,True,1
9,Pre-teens,Male,Tv,Urban,7.41,True,1
8,Kids,Male,Tv,Rural,3.08,True,1
18,Young Adults,Female,Tablet,Urban,3.89,True,1
11,Pre-teens,Male,Smartphone,Urban,4.57,True,1
15,Teens,Male,Tv,Urban,6.81,True,1
9,Pre-teens,Female,Tv,Urban,6.87,True,1
10,Pre-teens,Female,Smartphone,Rural,3.56,True,1
8,Kids,Female,Tablet,Urban,4.95,True,1
8,Kids,Male,Smartphone,Rural,7.2,True,1
10,Pre-teens,Male,Smartphone,Rural,2.48,True,1
18,Young Adults,Male,Smartphone,Urban,2.29,False,1
12,Pre-teens,Female,Smartphone,Rural,6.82,True,1
10,Pre-teens,Female,Smartphone,Rural,4.18,True,1
8,Kids,Male,Smartphone,Urban,7.59,True,1
8,Kids,Male,Smartphone,Urban,4.96,True,1
15,Teens,Female,Laptop,Urban,2.7,False,1
17,Young Adults,Female,Smartphone,Urban,5.37,True,1
18,Young Adults,Female,Laptop,Urban,3.02,True,1
9,Pre-teens,Female,Tv,Rural,2.28,True,1
10,Pre-teens,Male,Tv,Urban,7.37,True,1
9,Pre-teens,Female,Tv,Rural,0.62,False,1
10,Pre-teens,Male,Tablet,Urban,5.21,True,1
14,Teens,Female,Tablet,Urban,6.65,True,1
8,Kids,Female,Tablet,Urban,2.8,True,1
17,Young Adults,Female,Smartphone,Rural,6.48,True,1
15,Teens,Male,Tv,Urban,5.88,True,1
17,Young Adults,Male,Laptop,Urban,6.03,True,1
17,Young Adults,Female,Tv,Rural,5.55,True,1
17,Young Adults,Male,Tv,Urban,4.89,True,1
